T,2024-11-30 14:12:47,37.38490295,126.67484670,10.72,73.206,,0.000,,13,33,,
T,2024-11-30 14:12:49,37.38500335,126.67496360,11.79,72.166,,4.960,52,15,33,,
T,2024-11-30 14:12:51,37.38499078,126.67493480,7.50,64.438,,0.320,242,11,33,,
T,2024-11-30 14:12:53,37.38500543,126.67494436,6.43,59.706,,0.300,281,11,33,,
T,2024-11-30 14:12:55,37.38504095,126.67495453,6.43,56.282,,0.960,304,10,33,,
T,2024-11-30 14:12:57,37.38505610,126.67496916,5.36,51.895,,0.580,252,10,32,,
T,2024-11-30 14:12:59,37.38505733,126.67497506,4.29,51.349,,1.190,232,10,33,,
T,2024-11-30 14:13:01,37.38506886,126.67497529,3.22,50.709,,1.010,220,10,33,,
T,2024-11-30 14:13:03,37.38508237,126.67498645,3.22,53.070,,0.910,226,10,33,,
T,2024-11-30 14:13:05,37.38507645,126.67496193,4.29,56.265,,1.780,225,10,33,,
T,2024-11-30 14:13:07,37.38508116,126.67492318,7.50,59.799,,1.610,294,10,33,,
T,2024-11-30 14:13:09,37.38508084,126.67487136,8.58,61.889,,1.450,300,14,32,,
T,2024-11-30 14:13:11,37.38507392,126.67481614,7.50,63.667,,1.490,290,11,32,,
T,2024-11-30 14:13:13,37.38506391,126.67476939,7.50,65.940,,2.310,291,12,33,,
T,2024-11-30 14:13:15,37.38505229,126.67472107,6.43,68.039,,1.110,284,12,33,,
T,2024-11-30 14:13:17,37.38503164,126.67467816,7.50,68.965,,1.390,245,12,33,,
T,2024-11-30 14:13:19,37.38501388,126.67463741,6.43,70.515,,1.090,274,12,33,,
T,2024-11-30 14:13:21,37.38501650,126.67461503,5.36,70.561,,0.500,287,12,33,,
T,2024-11-30 14:13:23,37.38502124,126.67459746,6.43,69.891,,1.960,281,13,33,,
T,2024-11-30 14:13:25,37.38503219,126.67456346,5.36,71.474,,1.390,291,12,33,,
T,2024-11-30 14:13:27,37.38504264,126.67452849,5.36,74.386,,1.180,283,13,33,,
T,2024-11-30 14:13:29,37.38504984,126.67449985,6.43,76.327,,1.720,295,13,33,,
T,2024-11-30 14:13:31,37.38505939,126.67447650,6.43,74.490,,0.810,283,15,33,,
T,2024-11-30 14:13:33,37.38506640,126.67446077,6.43,76.281,,1.100,310,15,33,,
T,2024-11-30 14:13:35,37.38508310,126.67443214,6.43,73.290,,1.380,322,15,33,,
T,2024-11-30 14:13:37,37.38510805,126.67440043,6.43,71.521,,1.720,319,15,33,,
T,2024-11-30 14:13:39,37.38512736,126.67436515,6.43,70.450,,1.750,295,16,33,,
T,2024-11-30 14:13:41,37.38513902,126.67432971,7.50,68.953,,0.920,286,15,33,,
T,2024-11-30 14:13:43,37.38513968,126.67432156,11.79,67.753,,0.000,,15,33,,
T,2024-11-30 14:13:45,37.38514425,126.67431904,11.79,67.770,,0.160,283,14,33,,
T,2024-11-30 14:13:47,37.38515648,126.67431352,11.79,68.938,,0.800,337,15,33,,
T,2024-11-30 14:13:49,37.38517015,126.67429242,11.79,70.095,,1.150,311,15,33,,
T,2024-11-30 14:13:51,37.38517762,126.67427462,11.79,70.941,,0.460,307,15,33,,
T,2024-11-30 14:13:53,37.38517521,126.67425100,10.72,72.102,,0.930,259,15,33,,
T,2024-11-30 14:13:55,37.38517505,126.67422972,10.72,73.395,,0.340,276,14,33,,
T,2024-11-30 14:13:57,37.38518950,126.67419305,10.72,73.981,,1.090,294,14,33,,
T,2024-11-30 14:13:59,37.38520142,126.67416696,10.72,70.084,,0.670,286,11,33,,
T,2024-11-30 14:14:01,37.38521486,126.67412966,10.72,65.645,,0.000,,11,33,,
T,2024-11-30 14:14:03,37.38522065,126.67411855,10.72,65.075,,0.340,296,12,33,,
T,2024-11-30 14:14:05,37.38524340,126.67411820,10.72,62.644,,0.340,31,15,33,,
T,2024-11-30 14:14:07,37.38528785,126.67413783,10.72,59.192,,4.420,23,15,33,,
T,2024-11-30 14:14:09,37.38535998,126.67417203,10.72,58.660,,1.690,30,13,33,,
T,2024-11-30 14:14:11,37.38539896,126.67419312,10.72,58.690,,1.620,26,11,33,,
T,2024-11-30 14:14:13,37.38542967,126.67419268,10.72,54.812,,1.510,359,10,33,,
T,2024-11-30 14:14:15,37.38545933,126.67420301,10.72,52.486,,1.330,32,12,32,,
T,2024-11-30 14:14:17,37.38548574,126.67423178,10.72,52.327,,1.460,49,13,33,,
T,2024-11-30 14:14:19,37.38549660,126.67425465,10.72,50.116,,0.900,60,14,33,,
T,2024-11-30 14:14:21,37.38550788,126.67427797,10.72,50.553,,1.270,49,14,33,,
T,2024-11-30 14:14:23,37.38552956,126.67429164,9.65,49.812,,1.860,21,15,33,,
T,2024-11-30 14:14:25,37.38555485,126.67430641,9.65,49.004,,1.340,26,14,32,,
T,2024-11-30 14:14:27,37.38557738,126.67432062,9.65,47.100,,1.640,33,13,32,,
T,2024-11-30 14:14:29,37.38559573,126.67431875,9.65,47.010,,0.550,34,14,32,,
T,2024-11-30 14:14:31,37.38558787,126.67430223,9.65,46.027,,0.000,,15,32,,
T,2024-11-30 14:14:33,37.38559192,126.67427811,9.65,44.240,,0.730,34,15,32,,
T,2024-11-30 14:14:35,37.38559434,126.67424550,9.65,43.019,,1.730,278,12,32,,
T,2024-11-30 14:14:37,37.38559357,126.67420549,9.65,41.983,,0.970,274,13,32,,
T,2024-11-30 14:14:39,37.38559372,126.67416502,9.65,39.794,,1.090,281,13,32,,
T,2024-11-30 14:14:41,37.38560174,126.67411655,10.72,36.886,,1.030,305,13,32,,
T,2024-11-30 14:14:43,37.38560331,126.67408839,10.72,34.536,,0.670,305,13,32,,
T,2024-11-30 14:14:45,37.38560153,126.67405267,10.72,34.107,,0.950,279,12,32,,
T,2024-11-30 14:14:47,37.38562094,126.67401015,9.65,35.405,,1.480,317,12,32,,
T,2024-11-30 14:14:49,37.38565328,126.67396766,9.65,36.470,,1.130,316,12,32,,
T,2024-11-30 14:14:51,37.38567589,126.67393177,10.72,38.315,,1.790,316,12,32,,
T,2024-11-30 14:14:53,37.38568268,126.67389892,10.72,37.503,,1.950,315,12,32,,
T,2024-11-30 14:14:55,37.38568623,126.67387067,10.72,35.739,,0.000,,12,32,,
T,2024-11-30 14:14:57,37.38568784,126.67385321,9.65,34.995,,2.480,300,12,32,,
T,2024-11-30 14:14:59,37.38570759,126.67383757,9.65,33.180,,0.930,332,14,32,,
T,2024-11-30 14:15:01,37.38572268,126.67383940,9.65,34.479,,0.670,356,14,31,,
T,2024-11-30 14:15:03,37.38574599,126.67382309,9.65,34.088,,1.160,315,14,32,,
T,2024-11-30 14:15:05,37.38575358,126.67379901,9.65,31.717,,1.750,315,14,32,,
T,2024-11-30 14:15:07,37.38575115,126.67375146,9.65,32.338,,1.970,261,14,32,,
